,Entity Name,Plant Name,Nameplate Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Operating Month,Operating Year,Plant State,Age,emmR,emmF
1963,City of McGregor- (IA),McGregor,1.2,Petroleum Liquids,DFO,IC,10.0,1977.0,IA,42.0,0.08,0.096
1964,City of McGregor- (IA),McGregor,0.3,Petroleum Liquids,DFO,IC,12.0,1941.0,IA,78.0,0.08,0.024
1965,City of McGregor- (IA),McGregor,0.5,Petroleum Liquids,DFO,IC,7.0,1955.0,IA,64.0,0.08,0.04
1966,City of Milford - (IA),Milford,0.6,Petroleum Liquids,DFO,IC,1.0,1954.0,IA,65.0,0.08,0.048
1967,City of Milford - (IA),Milford,0.5,Petroleum Liquids,DFO,IC,1.0,1949.0,IA,70.0,0.08,0.04
1968,City of Milford - (IA),Milford,1.8,Petroleum Liquids,DFO,IC,5.0,1997.0,IA,22.0,0.08,0.14400000000000002
1969,City of Milford - (IA),Milford,1.8,Petroleum Liquids,DFO,IC,5.0,1997.0,IA,22.0,0.08,0.14400000000000002
1970,City of Milford - (IA),Milford,1.8,Petroleum Liquids,DFO,IC,5.0,1997.0,IA,22.0,0.08,0.14400000000000002
1971,City of Montezuma - (IA),Montezuma,0.2,Petroleum Liquids,DFO,IC,8.0,1940.0,IA,79.0,0.08,0.016
1972,City of Montezuma - (IA),Montezuma,0.2,Petroleum Liquids,DFO,IC,6.0,2003.0,IA,16.0,0.08,0.016
1973,City of Montezuma - (IA),Montezuma,0.5,Petroleum Liquids,DFO,IC,8.0,1947.0,IA,72.0,0.08,0.04
1974,City of Montezuma - (IA),Montezuma,1.1,Petroleum Liquids,DFO,IC,8.0,1959.0,IA,60.0,0.08,0.08800000000000001
1975,City of Montezuma - (IA),Montezuma,1.7,Natural Gas Internal Combustion Engine,NG,IC,8.0,1967.0,IA,52.0,0.059,0.10029999999999999
1976,City of Montezuma - (IA),Montezuma,2.5,Natural Gas Internal Combustion Engine,NG,IC,8.0,1974.0,IA,45.0,0.059,0.1475
1977,City of Montezuma - (IA),Montezuma,1.8,Petroleum Liquids,DFO,IC,6.0,1998.0,IA,21.0,0.08,0.14400000000000002
1978,City of Montezuma - (IA),Montezuma,1.8,Petroleum Liquids,DFO,IC,6.0,2000.0,IA,19.0,0.08,0.14400000000000002
1979,City of Mt Pleasant - (IA),Mt Pleasant,2.0,Petroleum Liquids,DFO,IC,2.0,2002.0,IA,17.0,0.08,0.16
1980,City of Mt Pleasant - (IA),Mt Pleasant,2.0,Petroleum Liquids,DFO,IC,2.0,2002.0,IA,17.0,0.08,0.16
1981,City of Mt Pleasant - (IA),Mt Pleasant,2.0,Petroleum Liquids,DFO,IC,2.0,2002.0,IA,17.0,0.08,0.16
1982,City of Mt Pleasant - (IA),Mt Pleasant,2.0,Petroleum Liquids,DFO,IC,2.0,2002.0,IA,17.0,0.08,0.16
1983,City of Mt Pleasant - (IA),Mt Pleasant,2.0,Petroleum Liquids,DFO,IC,2.0,2002.0,IA,17.0,0.08,0.16
1984,City of Mt Pleasant - (IA),Mt Pleasant,2.0,Petroleum Liquids,DFO,IC,2.0,2002.0,IA,17.0,0.08,0.16
1985,City of Mt Pleasant - (IA),Mt Pleasant,2.0,Petroleum Liquids,DFO,IC,2.0,2002.0,IA,17.0,0.08,0.16
1986,City of Mt Pleasant - (IA),Mt Pleasant,2.0,Petroleum Liquids,DFO,IC,2.0,2002.0,IA,17.0,0.08,0.16
1987,City of Mt Pleasant - (IA),Mt Pleasant,2.0,Petroleum Liquids,DFO,IC,2.0,2002.0,IA,17.0,0.08,0.16
1988,City of Mt Pleasant - (IA),Mt Pleasant,2.0,Petroleum Liquids,DFO,IC,2.0,2002.0,IA,17.0,0.08,0.16
1989,City of Mt Pleasant - (IA),Mt Pleasant,2.0,Petroleum Liquids,DFO,IC,2.0,2002.0,IA,17.0,0.08,0.16
1990,City of Mt Pleasant - (IA),Mt Pleasant,2.0,Petroleum Liquids,DFO,IC,2.0,2002.0,IA,17.0,0.08,0.16
1991,Board of Water Electric & Communications,Muscatine Plant #1,25.0,Conventional Steam Coal,RC,ST,4.0,1958.0,IA,61.0,0.1,2.5
1992,Board of Water Electric & Communications,Muscatine Plant #1,75.0,Conventional Steam Coal,RC,ST,1.0,1969.0,IA,50.0,0.1,7.5
1993,Board of Water Electric & Communications,Muscatine Plant #1,18.0,Conventional Steam Coal,RC,ST,7.0,2000.0,IA,19.0,0.1,1.8
1994,Board of Water Electric & Communications,Muscatine Plant #1,175.5,Conventional Steam Coal,RC,ST,4.0,1983.0,IA,36.0,0.1,17.55
1995,City of New Hampton - (IA),New Hampton,3.5,Natural Gas Internal Combustion Engine,NG,IC,4.0,1967.0,IA,52.0,0.059,0.2065
1996,City of New Hampton - (IA),New Hampton,6.2,Natural Gas Internal Combustion Engine,NG,IC,2.0,1973.0,IA,46.0,0.059,0.3658
1997,City of New Hampton - (IA),New Hampton,6.2,Natural Gas Internal Combustion Engine,NG,IC,2.0,1973.0,IA,46.0,0.059,0.3658
1998,City of New Hampton - (IA),New Hampton,5.3,Petroleum Liquids,DFO,IC,5.0,1999.0,IA,20.0,0.08,0.424
1999,City of New Hampton - (IA),New Hampton,5.3,Petroleum Liquids,DFO,IC,5.0,1999.0,IA,20.0,0.08,0.424
2000,City of Ogden - (IA),Ogden,0.4,Petroleum Liquids,DFO,IC,7.0,1951.0,IA,68.0,0.08,0.032
2001,City of Ogden - (IA),Ogden,1.0,Petroleum Liquids,DFO,IC,10.0,1958.0,IA,61.0,0.08,0.08
2002,City of Ogden - (IA),Ogden,2.5,Petroleum Liquids,DFO,IC,10.0,1971.0,IA,48.0,0.08,0.2
2003,City of Osage - (IA),Osage (IA),3.2,Natural Gas Internal Combustion Engine,NG,IC,9.0,1963.0,IA,56.0,0.059,0.1888
2004,City of Osage - (IA),Osage (IA),6.2,Natural Gas Internal Combustion Engine,NG,IC,10.0,1973.0,IA,46.0,0.059,0.3658
2005,City of Osage - (IA),Osage (IA),3.6,Petroleum Liquids,DFO,IC,5.0,1996.0,IA,23.0,0.08,0.28800000000000003
2006,City of Osage - (IA),Osage (IA),3.6,Petroleum Liquids,DFO,IC,5.0,1998.0,IA,21.0,0.08,0.28800000000000003
2007,City of Osage - (IA),Osage (IA),0.8,Solar Photovoltaic,SUN,PV,11.0,2016.0,IA,3.0,0.0,0.0
2008,City of Osage - (IA),Osage (IA),1.6,Onshore Wind Turbine,WND,WT,12.0,2009.0,IA,10.0,0.0,0.0
2009,Ottumwa City of,Ottumwa City of,1.0,Conventional Hydroelectric,WAT,HY,8.0,1931.0,IA,88.0,0.0,0.0
2010,Ottumwa City of,Ottumwa City of,1.2,Conventional Hydroelectric,WAT,HY,8.0,1931.0,IA,88.0,0.0,0.0
2011,Ottumwa City of,Ottumwa City of,1.0,Conventional Hydroelectric,WAT,HY,8.0,1931.0,IA,88.0,0.0,0.0
2012,City of Preston,Preston (IA),0.7,Petroleum Liquids,DFO,IC,12.0,1968.0,IA,51.0,0.08,0.055999999999999994
2013,City of Preston,Preston (IA),0.7,Petroleum Liquids,DFO,IC,12.0,1968.0,IA,51.0,0.08,0.055999999999999994
2014,City of Preston,Preston (IA),1.8,Natural Gas Internal Combustion Engine,NG,IC,12.0,1980.0,IA,39.0,0.059,0.1062
